0,1,2,3,4,5,6,7,8,9,10,11,12
40028,19,Private,Some-college,10,Never-married,Other-service,Not-in-family,Female,0,0,30,0
40029,43,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
40030,31,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,90,0
40031,65,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,45,0
40032,32,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,0
40033,36,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
40034,41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
40035,33,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,3908,0,40,0
40036,72,?,10th,6,Divorced,?,Not-in-family,Male,0,0,12,0
40037,34,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,1977,50,1
40038,27,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Male,0,0,45,0
40039,75,Self-emp-inc,11th,7,Never-married,Exec-managerial,Not-in-family,Male,0,0,50,0
40040,39,?,10th,6,Widowed,?,Unmarried,Female,0,0,15,0
40041,51,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,1887,40,1
40042,47,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
40043,31,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
40044,40,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,1
40045,48,Private,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,30,0
40046,36,Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,Male,0,0,40,0
40047,18,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,20,0
40048,33,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,0
40049,34,Private,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
40050,51,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,3103,0,48,1
40051,39,State-gov,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,Female,0,0,40,0
40052,20,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,35,0
40053,67,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,Female,0,0,20,0
40054,42,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Female,0,0,60,0
40055,59,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
40056,31,Local-gov,HS-grad,9,Never-married,Protective-serv,Not-in-family,Male,0,0,40,0
40057,19,Private,Some-college,10,Never-married,Other-service,Unmarried,Female,2036,0,30,0
40058,47,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,48,0
40059,68,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,Male,0,0,30,0
40060,30,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
40061,34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,60,0
40062,49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
40063,38,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
40064,60,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,7298,0,40,1
40065,51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,1
40066,24,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,0
40067,18,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Female,0,1602,35,0
40068,24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,40,0
40069,21,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
40070,48,Local-gov,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Female,0,1848,40,1
40071,52,Local-gov,9th,5,Married-civ-spouse,Other-service,Wife,Female,0,0,40,0
40072,48,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,40,0
40073,40,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,66,1
40074,29,?,11th,7,Divorced,?,Not-in-family,Female,3418,0,48,0
40075,20,Private,Some-college,10,Never-married,Tech-support,Own-child,Female,0,0,20,0
40076,31,Private,HS-grad,9,Divorced,Sales,Unmarried,Female,0,0,25,0
40077,30,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
40078,30,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Male,0,0,40,0
40079,51,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Female,0,0,40,0
40080,29,Private,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,0
40081,56,Self-emp-not-inc,Masters,14,Never-married,Sales,Not-in-family,Male,0,0,16,0
40082,46,Private,Bachelors,13,Separated,Tech-support,Unmarried,Female,0,0,40,0
40083,41,Private,Some-college,10,Separated,Prof-specialty,Own-child,Female,0,3900,40,0
40084,29,Private,5th-6th,3,Never-married,Other-service,Other-relative,Female,0,0,40,0
40085,48,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,30,0
40086,34,Self-emp-inc,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,50,0
40087,42,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
40088,25,Private,HS-grad,9,Never-married,Other-service,Unmarried,Female,0,0,30,0
40089,47,Private,11th,7,Divorced,Other-service,Unmarried,Female,0,0,40,0
40090,23,Private,HS-grad,9,Never-married,Sales,Own-child,Male,0,0,40,0
40091,43,Local-gov,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,Male,0,0,22,0
40092,19,Local-gov,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,35,0
40093,22,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
40094,40,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,Female,0,0,70,0
40095,41,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40096,71,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,2392,60,1
40097,42,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,45,0
40098,31,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,47,0
40099,69,?,Some-college,10,Married-civ-spouse,?,Husband,Male,0,0,32,0
40100,58,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,70,0
40101,36,Private,11th,7,Widowed,Other-service,Unmarried,Female,0,0,12,0
40102,31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,65,0
40103,20,?,Some-college,10,Never-married,?,Own-child,Female,594,0,35,0
40104,41,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
40105,35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40106,62,?,7th-8th,4,Married-civ-spouse,?,Husband,Male,0,0,40,0
40107,28,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Female,0,0,15,0
40108,27,Private,12th,8,Married-civ-spouse,Farming-fishing,Own-child,Male,0,0,55,0
40109,17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
40110,35,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,Male,0,0,50,1
40111,45,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Wife,Female,0,0,99,0
40112,44,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,Female,0,0,40,0
40113,27,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,Female,0,0,40,0
40114,51,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40115,49,Private,HS-grad,9,Widowed,Other-service,Not-in-family,Female,0,0,45,0
40116,64,Self-emp-not-inc,10th,6,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,10,1
40117,54,Self-emp-not-inc,7th-8th,4,Divorced,Transport-moving,Not-in-family,Male,0,0,45,0
40118,43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40119,32,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,Male,0,0,35,0
40120,36,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Male,10520,0,43,1
40121,26,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Other-relative,Male,0,0,50,1
40122,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,1
40123,38,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Female,0,0,40,0
40124,26,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40125,50,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,1887,50,1
40126,47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,40,1
40127,42,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,40,0
40128,66,Local-gov,HS-grad,9,Widowed,Transport-moving,Not-in-family,Female,0,0,40,0
40129,43,Private,HS-grad,9,Separated,Adm-clerical,Not-in-family,Female,0,0,32,0
40130,37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,1
40131,37,Private,10th,6,Divorced,Exec-managerial,Unmarried,Female,0,0,35,0
40132,25,Private,Some-college,10,Never-married,Tech-support,Own-child,Female,0,0,40,0
40133,29,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,1
40134,63,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,40,1
40135,50,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,Male,3103,0,40,1
40136,42,State-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,70,0
40137,32,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,0
40138,42,State-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
40139,41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
40140,25,Private,Bachelors,13,Never-married,Sales,Not-in-family,Male,3325,0,40,0
40141,65,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,50,0
40142,32,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,50,0
40143,32,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Male,0,0,10,0
40144,24,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,0
40145,51,Federal-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,0
40146,67,?,10th,6,Never-married,?,Not-in-family,Female,0,0,35,0
40147,28,Private,11th,7,Married-spouse-absent,Other-service,Unmarried,Female,0,0,35,0
40148,32,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,1
40149,77,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
40150,47,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,0,20,0
40151,26,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,40,0
40152,20,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Male,0,0,20,0
40153,57,State-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,35,1
40154,40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,0
40155,50,Private,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,1
40156,19,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Own-child,Male,0,0,45,0
40157,54,Federal-gov,12th,8,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
40158,51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
40159,51,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,50,1
40160,38,State-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,7688,0,40,1
40161,68,?,Bachelors,13,Married-civ-spouse,?,Husband,Male,0,0,25,0
40162,17,Private,12th,8,Never-married,Sales,Own-child,Female,0,0,20,0
40163,32,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,0
40164,29,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,0
40165,42,Private,Some-college,10,Divorced,Sales,Unmarried,Male,0,0,40,0
40166,40,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
40167,27,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40168,22,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,Female,0,0,20,0
40169,58,Private,11th,7,Widowed,Other-service,Not-in-family,Female,0,0,40,0
40170,61,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,45,1
40171,42,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,Female,0,0,35,1
40172,49,Private,Masters,14,Married-spouse-absent,Protective-serv,Not-in-family,Male,0,0,40,0
40173,41,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
40174,43,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,40,0
40175,46,Private,Bachelors,13,Divorced,Sales,Unmarried,Male,0,0,40,1
40176,28,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,45,1
40177,39,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Male,7688,0,50,1
40178,50,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,7688,0,40,1
40179,57,Private,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,Male,0,0,40,0
40180,47,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,38,0
40181,79,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
40182,40,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,Female,0,0,45,0
40183,35,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
40184,35,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1740,80,0
40185,30,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Male,0,0,60,1
40186,26,Private,10th,6,Never-married,Farming-fishing,Not-in-family,Male,0,0,40,0
40187,49,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Female,1506,0,40,0
40188,48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40189,22,Private,Some-college,10,Never-married,Other-service,Not-in-family,Male,0,0,45,0
40190,22,Private,11th,7,Never-married,Other-service,Own-child,Female,0,0,30,0
40191,50,Private,10th,6,Separated,Adm-clerical,Not-in-family,Female,0,0,47,0
40192,47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,0
40193,36,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,0
40194,44,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
40195,73,Private,9th,5,Widowed,Other-service,Unmarried,Female,0,0,9,0
40196,24,?,HS-grad,9,Never-married,?,Not-in-family,Female,0,0,45,0
40197,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
40198,37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40199,28,?,12th,8,Married-civ-spouse,?,Wife,Female,0,0,20,0
40200,46,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,1
40201,20,?,Some-college,10,Never-married,?,Own-child,Female,0,0,35,0
40202,29,Private,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
40203,24,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40204,29,State-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,35,0
40205,18,Private,12th,8,Never-married,Adm-clerical,Own-child,Female,0,0,20,0
40206,41,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Female,0,0,90,1
40207,59,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
40208,27,Private,5th-6th,3,Never-married,Farming-fishing,Unmarried,Male,0,0,50,0
40209,50,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,0
40210,25,Private,1st-4th,2,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,24,0
40211,42,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Female,0,0,45,0
40212,36,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40213,62,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,60,1
40214,71,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
40215,38,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,0,0,55,1
40216,44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,40,0
40217,19,?,10th,6,Never-married,?,Own-child,Male,0,0,30,0
40218,49,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,0
40219,60,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,40,1
40220,28,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
40221,26,Private,Bachelors,13,Never-married,Sales,Not-in-family,Female,0,0,55,0
40222,18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,12,0
40223,43,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,1
40224,65,Local-gov,12th,8,Widowed,Exec-managerial,Not-in-family,Male,2009,0,44,0
40225,23,Private,10th,6,Never-married,Craft-repair,Own-child,Male,0,0,44,0
40226,21,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,35,0
40227,20,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,Male,0,0,40,0
40228,19,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,18,0
40229,77,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,Female,0,0,32,0
40230,32,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,0
40231,37,Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,30,0
40232,29,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,45,0
40233,59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,2415,45,1
40234,22,Private,Some-college,10,Never-married,Craft-repair,Own-child,Male,0,0,40,0
40235,30,?,Bachelors,13,Married-civ-spouse,?,Wife,Female,0,0,20,0
40236,31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,1
40237,59,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,60,0
40238,29,Federal-gov,Some-college,10,Never-married,Other-service,Not-in-family,Female,0,0,40,1
40239,56,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,1
40240,19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,20,0
40241,37,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
40242,58,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
40243,41,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
40244,29,Private,HS-grad,9,Never-married,Sales,Unmarried,Male,0,0,38,0
40245,38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
40246,36,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,1977,50,1
40247,19,Private,Some-college,10,Never-married,Craft-repair,Own-child,Male,594,0,40,0
40248,46,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,28,1
40249,42,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,45,1
40250,29,Private,Some-college,10,Never-married,Sales,Not-in-family,Female,0,0,40,0
40251,42,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,40,1
40252,29,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
40253,47,Private,Masters,14,Divorced,Prof-specialty,Unmarried,Female,0,0,40,0
40254,37,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
40255,39,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,45,0
40256,46,Private,Bachelors,13,Divorced,Sales,Unmarried,Female,0,0,35,1
40257,28,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
40258,36,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,56,1
40259,39,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,Female,0,0,40,0
40260,44,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
40261,70,?,HS-grad,9,Widowed,?,Not-in-family,Female,2964,0,12,0
40262,60,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
40263,35,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,50,1
40264,59,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,1
40265,21,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,60,0
40266,22,Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Female,0,0,16,0
40267,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,50,1
40268,40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,50,1
40269,33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,45,1
40270,41,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,0
40271,31,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,Female,0,0,35,1
40272,62,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,Male,0,0,40,0
40273,43,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,35,0
40274,28,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,60,0
40275,43,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1887,40,1
40276,55,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,Male,3103,0,55,1
40277,42,Private,HS-grad,9,Separated,Other-service,Unmarried,Female,0,0,25,0
40278,23,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,0
40279,55,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,1
40280,44,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,99999,0,45,1
40281,19,Private,11th,7,Never-married,Sales,Own-child,Female,0,0,32,0
40282,23,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,0
40283,41,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,Female,0,0,50,0
40284,63,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,20,0
40285,51,Private,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Female,0,0,40,0
40286,49,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,Male,0,0,90,0
40287,29,State-gov,Masters,14,Never-married,Prof-specialty,Unmarried,Female,0,0,20,0
40288,25,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,8614,0,40,1
40289,44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,99999,0,50,1
40290,17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,30,0
40291,42,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
40292,21,Private,11th,7,Never-married,Tech-support,Own-child,Female,0,0,35,0
40293,26,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,Male,0,0,40,0
