ID,AGE,WORKCLASS,EDUCATION,EDUCATIONAL-NUM,MARITAL-STATUS,OCCUPATION,RELATIONSHIP,GENDER,CAPITAL-GAIN,CAPITAL-LOSS,HOURS-PER-WEEK,INCOME
118,44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,40,0
119,43,Private,Bachelors,13,Divorced,Sales,Unmarried,Female,0,0,40,1
120,31,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,Female,0,0,60,0
121,18,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,25,0
122,19,Private,Some-college,10,Never-married,Protective-serv,Own-child,Male,0,0,30,0
123,41,Private,Some-college,10,Divorced,Tech-support,Not-in-family,Female,0,0,40,0
124,41,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,Female,0,0,40,0
125,69,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,25,0
126,48,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,1
127,28,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,Male,0,0,40,0
128,27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,1
129,41,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,2415,50,1
130,41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
131,24,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Female,0,0,40,0
132,20,?,HS-grad,9,Never-married,?,Not-in-family,Female,0,0,40,0
133,42,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,41,1
134,57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,0
135,30,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,0
136,36,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,60,1
137,49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
138,33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,35,0
139,23,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
140,46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
141,18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,22,0
142,40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,55,1
143,43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,1887,45,1
144,34,Private,Masters,14,Never-married,Prof-specialty,Own-child,Female,0,0,30,0
145,47,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,Female,0,0,30,0
146,44,Private,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,Female,0,0,30,0
147,33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,1
148,55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,50,1
149,19,Private,HS-grad,9,Never-married,Sales,Not-in-family,Male,2907,0,30,0
150,28,Private,Some-college,10,Never-married,Other-service,Not-in-family,Male,0,0,14,0
151,27,Private,11th,7,Married-civ-spouse,Other-service,Wife,Female,0,0,32,0
152,50,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,20,0
153,22,Private,11th,7,Never-married,Craft-repair,Unmarried,Male,0,0,40,0
154,40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,1887,45,1
155,25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,40,0
156,26,Local-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,40,0
157,22,Private,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,25,0
158,42,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Female,0,625,40,0
159,38,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,0,0,40,0
160,55,Private,11th,7,Married-civ-spouse,Other-service,Husband,Male,0,0,30,0
161,32,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
162,22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,0
163,29,Private,Bachelors,13,Never-married,Sales,Own-child,Male,0,0,40,0
164,46,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,1
165,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
166,58,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,16,1
167,42,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,0
168,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Male,0,0,25,0
169,58,Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Male,0,0,33,0
170,54,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Male,0,1887,40,1
171,34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
172,26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
173,61,Private,12th,8,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,0
174,48,Local-gov,Masters,14,Separated,Adm-clerical,Unmarried,Female,0,0,40,0
175,36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,1
176,24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,45,0
177,40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,37,0
178,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,50,1
179,37,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1887,40,1
180,34,Private,Masters,14,Never-married,Exec-managerial,Own-child,Male,4650,0,40,0
181,56,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,40,1
182,28,?,HS-grad,9,Married-civ-spouse,?,Own-child,Female,0,0,38,1
183,37,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,Female,0,0,55,0
184,44,Private,HS-grad,9,Divorced,Sales,Unmarried,Female,0,0,40,0
185,64,?,Some-college,10,Married-civ-spouse,?,Husband,Male,0,0,8,0
186,54,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,45,0
187,23,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,50,0
188,34,State-gov,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,Male,0,0,40,0
189,22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Female,0,0,45,0
190,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,40,1
191,39,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,Male,0,0,50,1
192,47,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Female,0,0,37,0
193,79,?,7th-8th,4,Widowed,?,Not-in-family,Male,0,0,40,0
194,26,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Female,0,0,55,0
195,31,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
196,44,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,Male,0,0,45,0
197,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,50,1
198,19,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,0
199,27,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,1
200,51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
201,28,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
202,57,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,Male,0,0,45,0
203,45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,Female,0,0,40,0
204,50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
205,34,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,54,0
206,45,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
207,73,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,20,0
208,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,50,1
209,31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,55,1
210,19,Private,11th,7,Never-married,Sales,Not-in-family,Male,0,0,12,0
211,25,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,50,0
212,38,Federal-gov,Assoc-voc,11,Divorced,Craft-repair,Unmarried,Female,6497,0,40,0
213,39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
214,23,Private,Bachelors,13,Never-married,Tech-support,Own-child,Female,0,0,32,0
215,49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
216,33,Federal-gov,HS-grad,9,Never-married,Other-service,Not-in-family,Male,0,0,32,0
217,21,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,Male,0,0,38,0
218,31,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,Male,0,0,40,0
219,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,45,0
220,34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
221,25,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,0
222,39,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Male,0,0,40,0
223,52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,1
224,63,Local-gov,9th,5,Married-civ-spouse,Transport-moving,Husband,Male,7688,0,40,1
225,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
226,46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,38,1
227,53,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
228,25,?,9th,5,Separated,?,Not-in-family,Female,1055,0,40,0
229,77,?,Some-college,10,Married-civ-spouse,?,Husband,Male,0,0,35,0
230,18,Private,12th,8,Never-married,Priv-house-serv,Own-child,Male,0,0,40,0
231,38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,0
232,55,Private,Masters,14,Never-married,Exec-managerial,Unmarried,Female,0,0,50,0
233,34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,1
234,80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,30,0
235,34,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,Female,0,0,60,0
236,52,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,5013,0,40,0
237,42,Private,HS-grad,9,Never-married,Other-service,Unmarried,Female,0,0,28,0
238,26,Private,Some-college,10,Never-married,Sales,Not-in-family,Female,0,0,40,0
239,31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
240,25,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,35,0
241,55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,2057,60,0
242,19,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,12,0
243,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,32,0
244,22,Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,20,0
245,39,?,HS-grad,9,Married-civ-spouse,?,Wife,Female,0,0,50,0
246,35,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
247,28,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,Female,0,0,40,0
248,47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,70,1
249,44,State-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
250,21,Private,Some-college,10,Never-married,Sales,Own-child,Male,0,0,15,0
251,35,Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,Male,0,0,50,0
252,24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
253,42,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
254,28,Private,Bachelors,13,Never-married,Tech-support,Own-child,Male,0,0,50,0
255,21,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,Male,0,0,35,0
256,62,Federal-gov,Some-college,10,Divorced,Tech-support,Not-in-family,Male,4650,0,40,0
257,39,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Female,0,0,40,0
258,30,State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,Male,0,0,40,0
259,72,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Male,0,1429,20,0
260,50,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,50,0
261,28,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
262,29,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,0
263,26,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Female,0,0,40,0
264,27,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,0
265,29,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,3103,0,40,1
266,61,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,40,0
267,29,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,0,0,25,0
268,21,?,Some-college,10,Never-married,?,Own-child,Female,0,0,30,0
269,31,Private,11th,7,Married-civ-spouse,Sales,Wife,Female,0,0,20,0
270,25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,75,0
271,58,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,1
272,64,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,1
273,46,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,Male,0,0,38,0
274,53,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,35,1
275,19,Private,HS-grad,9,Never-married,Other-service,Own-child,Female,0,0,35,0
276,42,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Male,0,0,52,0
277,18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,24,0
278,58,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,15024,0,50,1
279,20,Private,Some-college,10,Never-married,Protective-serv,Not-in-family,Male,0,0,60,0
280,35,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
281,32,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,38,1
282,23,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Female,0,0,25,0
283,31,Private,Some-college,10,Divorced,Tech-support,Unmarried,Female,0,0,40,0
284,33,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,55,0
285,41,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,48,0
286,22,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,0
287,46,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
288,61,Federal-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
289,30,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,0
290,42,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,1
291,63,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
292,26,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
293,42,Private,10th,6,Divorced,Adm-clerical,Unmarried,Female,0,0,40,0
294,23,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
295,25,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Male,0,1590,40,0
296,30,Private,9th,5,Married-civ-spouse,Other-service,Husband,Male,0,0,32,1
