AGE,WORKCLASS,EDUCATION,EDUCATIONAL-NUM,MARITAL-STATUS,OCCUPATION,RELATIONSHIP,GENDER,CAPITAL-GAIN,CAPITAL-LOSS,HOURS-PER-WEEK,INCOME
41,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
71,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,2392,60,1
42,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,45,0
31,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,47,0
69,?,Some-college,10,Married-civ-spouse,?,Husband,Male,0,0,32,0
58,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,70,0
36,Private,11th,7,Widowed,Other-service,Unmarried,Female,0,0,12,0
31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,65,0
20,?,Some-college,10,Never-married,?,Own-child,Female,594,0,35,0
41,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
62,?,7th-8th,4,Married-civ-spouse,?,Husband,Male,0,0,40,0
28,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Female,0,0,15,0
27,Private,12th,8,Married-civ-spouse,Farming-fishing,Own-child,Male,0,0,55,0
17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
35,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,Male,0,0,50,1
45,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Other-service,Wife,Female,0,0,99,0
44,Private,Bachelors,13,Divorced,Adm-clerical,Unmarried,Female,0,0,40,0
27,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,Female,0,0,40,0
51,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
49,Private,HS-grad,9,Widowed,Other-service,Not-in-family,Female,0,0,45,0
64,Self-emp-not-inc,10th,6,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,10,1
54,Self-emp-not-inc,7th-8th,4,Divorced,Transport-moving,Not-in-family,Male,0,0,45,0
43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
32,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,Male,0,0,35,0
36,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Male,10520,0,43,1
26,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Other-relative,Male,0,0,50,1
37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,1
38,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Female,0,0,40,0
26,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
50,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,1887,50,1
47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,40,1
42,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,40,0
66,Local-gov,HS-grad,9,Widowed,Transport-moving,Not-in-family,Female,0,0,40,0
43,Private,HS-grad,9,Separated,Adm-clerical,Not-in-family,Female,0,0,32,0
37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,1
37,Private,10th,6,Divorced,Exec-managerial,Unmarried,Female,0,0,35,0
25,Private,Some-college,10,Never-married,Tech-support,Own-child,Female,0,0,40,0
29,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,1
63,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,40,1
50,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,Male,3103,0,40,1
42,State-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,70,0
32,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,0
42,State-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
25,Private,Bachelors,13,Never-married,Sales,Not-in-family,Male,3325,0,40,0
65,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,50,0
32,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,50,0
32,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Male,0,0,10,0
24,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,0
51,Federal-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,0
67,?,10th,6,Never-married,?,Not-in-family,Female,0,0,35,0
28,Private,11th,7,Married-spouse-absent,Other-service,Unmarried,Female,0,0,35,0
32,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,55,1
77,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
47,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,0,20,0
26,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,40,0
20,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Male,0,0,20,0
57,State-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,35,1
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,0
50,Private,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,1
19,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Own-child,Male,0,0,45,0
54,Federal-gov,12th,8,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
51,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,50,1
38,State-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,7688,0,40,1
68,?,Bachelors,13,Married-civ-spouse,?,Husband,Male,0,0,25,0
17,Private,12th,8,Never-married,Sales,Own-child,Female,0,0,20,0
32,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,0
29,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,0
42,Private,Some-college,10,Divorced,Sales,Unmarried,Male,0,0,40,0
40,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
27,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
22,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,Female,0,0,20,0
58,Private,11th,7,Widowed,Other-service,Not-in-family,Female,0,0,40,0
61,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,45,1
42,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,Female,0,0,35,1
49,Private,Masters,14,Married-spouse-absent,Protective-serv,Not-in-family,Male,0,0,40,0
41,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
43,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,40,0
46,Private,Bachelors,13,Divorced,Sales,Unmarried,Male,0,0,40,1
28,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,45,1
39,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,Male,7688,0,50,1
50,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,7688,0,40,1
57,Private,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,Male,0,0,40,0
47,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,38,0
79,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
40,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Wife,Female,0,0,45,0
35,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
35,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1740,80,0
30,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Male,0,0,60,1
26,Private,10th,6,Never-married,Farming-fishing,Not-in-family,Male,0,0,40,0
49,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Female,1506,0,40,0
48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
22,Private,Some-college,10,Never-married,Other-service,Not-in-family,Male,0,0,45,0
22,Private,11th,7,Never-married,Other-service,Own-child,Female,0,0,30,0
50,Private,10th,6,Separated,Adm-clerical,Not-in-family,Female,0,0,47,0
47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,0
36,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,50,0
44,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
73,Private,9th,5,Widowed,Other-service,Unmarried,Female,0,0,9,0
24,?,HS-grad,9,Never-married,?,Not-in-family,Female,0,0,45,0
34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
28,?,12th,8,Married-civ-spouse,?,Wife,Female,0,0,20,0
46,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,1
20,?,Some-college,10,Never-married,?,Own-child,Female,0,0,35,0
29,Private,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
24,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
29,State-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,35,0
18,Private,12th,8,Never-married,Adm-clerical,Own-child,Female,0,0,20,0
41,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Female,0,0,90,1
59,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
27,Private,5th-6th,3,Never-married,Farming-fishing,Unmarried,Male,0,0,50,0
50,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,0
25,Private,1st-4th,2,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,24,0
42,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,Female,0,0,45,0
36,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
62,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,60,1
71,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
38,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,0,0,55,1
44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,40,0
19,?,10th,6,Never-married,?,Own-child,Male,0,0,30,0
49,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,0
60,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,40,1
28,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,0
26,Private,Bachelors,13,Never-married,Sales,Not-in-family,Female,0,0,55,0
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,12,0
43,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,1
65,Local-gov,12th,8,Widowed,Exec-managerial,Not-in-family,Male,2009,0,44,0
23,Private,10th,6,Never-married,Craft-repair,Own-child,Male,0,0,44,0
21,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,35,0
20,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,Male,0,0,40,0
19,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,18,0
77,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,Female,0,0,32,0
32,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,0
37,Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,30,0
29,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,45,0
59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,2415,45,1
22,Private,Some-college,10,Never-married,Craft-repair,Own-child,Male,0,0,40,0
30,?,Bachelors,13,Married-civ-spouse,?,Wife,Female,0,0,20,0
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,1
59,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,60,0
29,Federal-gov,Some-college,10,Never-married,Other-service,Not-in-family,Female,0,0,40,1
56,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,1
19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,20,0
37,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
58,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
41,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
29,Private,HS-grad,9,Never-married,Sales,Unmarried,Male,0,0,38,0
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
36,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,1977,50,1
19,Private,Some-college,10,Never-married,Craft-repair,Own-child,Male,594,0,40,0
46,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,28,1
42,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,45,1
29,Private,Some-college,10,Never-married,Sales,Not-in-family,Female,0,0,40,0
42,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,40,1
29,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
47,Private,Masters,14,Divorced,Prof-specialty,Unmarried,Female,0,0,40,0
37,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
39,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,45,0
46,Private,Bachelors,13,Divorced,Sales,Unmarried,Female,0,0,35,1
28,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
36,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,56,1
39,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,Female,0,0,40,0
44,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
70,?,HS-grad,9,Widowed,?,Not-in-family,Female,2964,0,12,0
60,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
35,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,50,1
59,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Male,0,0,48,1
21,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,60,0
22,Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,Female,0,0,16,0
31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,50,1
40,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,1977,50,1
33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,45,1
41,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,0
31,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,Female,0,0,35,1
62,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,Male,0,0,40,0
43,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,35,0
28,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,60,0
43,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1887,40,1
55,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,Male,3103,0,55,1
42,Private,HS-grad,9,Separated,Other-service,Unmarried,Female,0,0,25,0
23,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,0
55,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,1
44,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,99999,0,45,1
19,Private,11th,7,Never-married,Sales,Own-child,Female,0,0,32,0
23,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,0
41,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,Female,0,0,50,0
63,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,20,0
51,Private,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Female,0,0,40,0
49,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,Male,0,0,90,0
29,State-gov,Masters,14,Never-married,Prof-specialty,Unmarried,Female,0,0,20,0
25,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,8614,0,40,1
44,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,99999,0,50,1
17,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,30,0
42,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
21,Private,11th,7,Never-married,Tech-support,Own-child,Female,0,0,35,0
26,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,Male,0,0,40,0
24,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,42,1
58,?,Bachelors,13,Widowed,?,Unmarried,Female,27828,0,50,1
19,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,28,0
65,State-gov,7th-8th,4,Widowed,Other-service,Other-relative,Female,0,0,24,0
52,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,0,0,60,1
17,Private,10th,6,Never-married,Handlers-cleaners,Own-child,Male,0,0,20,0
27,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,22,0
53,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,0
24,Private,Bachelors,13,Never-married,Sales,Not-in-family,Female,0,0,40,0
37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
34,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,18,0
40,Local-gov,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,Male,8614,0,50,1
49,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
86,Private,Masters,14,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
49,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Female,15024,0,60,1
